County,bednet,malaria,Heath_Spending_Per_Person_,Geolocation,OBJECTID
Baringo,0.24,0.15,29,,0
Bomet,0.26,0.40,20,,1
Bungoma,0.28,0.38,20,,2
Busia,0.41,0.43,20,,3
Elgeyo-Marakwet,0.08,0.09,48,,4
Embu,0.22,0.40,34,,5
Garissa,0.38,0.47,37,,6
Homa Bay,0.40,0.58,24,,7
Isiolo,0.43,0.34,42,,8
Kajiado,0.30,0.12,15,,9
Kakamega,0.27,0.38,23,,10
Kericho,0.34,0.52,11,,11
Kiambu,0.15,0.23,20,,12
Kilifi,0.39,0.45,26,,13
Kirinyaga,0.30,0.43,18,,14
Kisii,0.38,0.49,26,,15
Kisumu,0.62,0.46,29,,16
Kitui,0.13,0.51,46,,17
Kwale,0.32,0.38,31,,18
Laikipia,0.12,0.15,29,,19
Lamu,0.51,0.63,50,,20
Machakos,0.32,0.41,16,,21
Makueni,0.11,0.51,15,,22
Mandera,0.05,0.35,20,,23
Marsabit,0.11,0.44,46,,24
Meru,0.24,0.43,22,,25
Migori,0.40,0.63,23,,26
Mombasa,0.51,0.48,11,,27
Murang'a,0.11,0.36,22,,28
Nairobi,0.38,0.38,7,,29
Nakuru,0.10,0.00,11,,30
Nandi,0.19,0.51,23,,31
Narok,0.13,0.56,7,,32
Nyamira,0.41,0.39,22,,33
Nyandarua,0.02,0.14,17,,34
Nyeri,0.06,0.13,39,,35
Samburu,0.03,0.37,34,,36
Siaya,0.47,0.54,22,,37
Taita Taveta,0.31,0.49,48,,38
Tana River,0.45,0.63,19,,39
Tharaka-Nithi,0.41,0.34,18,,40
Trans Nzoia,0.23,0.35,8,,41
Turkana,0.06,0.55,14,,42
Uasin Gishu,0.34,0.43,13,,43
Vihiga,0.29,0.33,10,,44
Wajir,0.18,0.55,21,,45
West Pokot,0.16,0.60,24,,46
